amc,Sigla,1991,2000,2010,Amazon
1001,RO,53588,59975,56552,1
1002,RO,371218,506814,648405,1
1003,RO,8174,7518,6313,1
1004,RO,78934,84910,88926,1
1005,RO,78256,91470,111877,1
1006,RO,29834,56822,63170,1
1007,RO,23156,25688,28729,1
1008,RO,32583,38045,41656,1
1009,RO,63535,78381,73166,1
1010,RO,97799,106800,116610,1
1011,RO,16765,30476,40519,1
1012,RO,15798,17067,19874,1
1013,RO,104902,112464,100224,1
1014,RO,48759,46741,48174,1
1015,RO,30064,26365,22319,1
1016,RO,59751,63870,64463,1
1017,RO,12328,11603,8886,1
1018,RO,7248,14778,22546,1
1019,AM,8487,12150,14088,1
1020,AM,4738,7308,9467,1
1021,AM,6024,6563,10214,1
1022,AM,8990,11320,16317,1
1023,AM,5732,13864,18007,1
1024,AM,7993,10049,15153,1
1025,AM,17107,24345,32135,1
1026,AM,11035,24197,25718,1
1027,AM,16316,22579,27355,1
1028,AM,18312,23219,33411,1
1029,AM,7436,11038,15486,1
1030,AM,7504,10482,14979,1
1031,AM,25005,26959,30632,1
1032,AM,17217,28619,34961,1
1033,AM,6833,8803,10975,1
1034,AM,12152,10737,12738,1
1035,AM,19298,23421,25774,1
1036,AM,31816,27554,32734,1
1037,AM,18161,17267,23930,1
1038,AM,38678,67096,75965,1
1039,AM,13462,17507,23206,1
1040,AM,20372,26074,30665,1
1041,AM,16339,19060,16338,1
1042,AM,16445,31509,22817,1
1043,AM,11495,13220,13974,1
1044,AM,38792,32796,44227,1
1045,AM,9653,14759,22254,1
1046,AM,18876,32303,40781,1
1047,AM,58757,72105,86839,1
1048,AM,9085,8406,8038,1
1049,AM,5137,7309,8211,1
1050,AM,10777,10285,7326,1
1051,AM,5045,6584,10802,1
1052,AM,14890,22500,17992,1
1053,AM,33052,28956,37701,1
1054,AM,57173,73695,85141,1
1055,AM,10718,12711,22801,1
1056,AM,1011501,1405835,1802014,1
1057,AM,37857,38038,47017,1
1058,AM,11838,17079,17528,1
1059,AM,30499,40036,52236,1
1060,AM,13250,15355,18278,1
1061,AM,12949,23725,30696,1
1062,AM,14024,9651,14723,1
1063,AM,11634,17119,21451,1
1064,AM,58783,90150,102033,1
1065,AM,17037,17092,18166,1
1066,AM,7089,17394,27175,1
1067,AM,6519,17582,25719,1
1068,AM,15421,10561,18146,1
1069,AM,17214,28213,24481,1
1070,AM,23140,29947,37896,1
1071,AM,13623,23113,31422,1
1072,AM,4539,7160,10705,1
1073,AM,5703,7785,8444,1
1074,AM,27923,37919,52272,1
1075,AM,25386,20595,19077,1
1076,AM,53970,64457,61453,1
1077,AM,10034,15512,17079,1
1078,AM,5407,10254,11891,1
1079,AM,11328,18372,17094,1
1080,AM,17673,12264,17837,1
1081,RR,155437,224792,321388,1
1082,RR,11211,17907,16448,1
1083,RR,31686,48211,66731,1
1084,RR,19249,33487,45912,1
1085,MS,6539,11015,14424,0
1086,MS,33549,34545,36728,0
1087,MS,25951,29484,34730,0
1088,MS,19940,22477,23835,0
1089,MS,7270,7955,8493,0
1090,MS,8834,7356,9185,0
1091,MS,6636,7408,8208,0
1092,MS,15172,18402,22320,0
1093,MS,39342,43440,45614,0
1094,MS,8064,8055,10251,0
1095,MS,6169,6425,6609,0
1096,MS,11450,16197,19839,0
1097,MS,7971,10625,10936,0
1098,MS,19135,21764,23181,0
1099,MS,8120,8367,7985,0
1100,MS,15543,16956,19587,0
1101,MS,10349,11956,11826,0
1102,MS,22492,20706,25767,0
1103,MS,29474,31934,36248,0
1104,MS,526126,663621,786797,0
1105,MS,3930,4592,5398,0
1106,MS,17861,20087,20966,0
1107,MS,5383,11658,19648,0
1108,MS,3679,3592,4862,0
1109,MS,11609,12810,14064,0
1110,MS,88411,95701,103703,0
1111,MS,13713,11350,12139,0
1112,MS,8749,9335,10363,0
1113,MS,4741,4732,5364,0
1114,MS,135984,164949,196035,0
1115,MS,11025,11059,11694,0
1116,MS,22155,19111,19035,0
1117,MS,11889,10035,9927,0
1118,MS,9167,11115,10366,0
1119,MS,11100,13617,14875,0
1120,MS,6279,7872,7669,0
1121,MS,15935,17045,20865,0
